time,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_CMC,Y_LEFT_THUMB_CMC,Z_LEFT_THUMB_CMC,X_LEFT_THUMB_MCP,Y_LEFT_THUMB_MCP,Z_LEFT_THUMB_MCP,X_LEFT_THUMB_IP,Y_LEFT_THUMB_IP,Z_LEFT_THUMB_IP,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_MCP,Y_LEFT_INDEX_FINGER_MCP,Z_LEFT_INDEX_FINGER_MCP,X_LEFT_INDEX_FINGER_PIP,Y_LEFT_INDEX_FINGER_PIP,Z_LEFT_INDEX_FINGER_PIP,X_LEFT_INDEX_FINGER_DIP,Y_LEFT_INDEX_FINGER_DIP,Z_LEFT_INDEX_FINGER_DIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_MCP,Y_LEFT_MIDDLE_FINGER_MCP,Z_LEFT_MIDDLE_FINGER_MCP,X_LEFT_MIDDLE_FINGER_PIP,Y_LEFT_MIDDLE_FINGER_PIP,Z_LEFT_MIDDLE_FINGER_PIP,X_LEFT_MIDDLE_FINGER_DIP,Y_LEFT_MIDDLE_FINGER_DIP,Z_LEFT_MIDDLE_FINGER_DIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_MCP,Y_LEFT_RING_FINGER_MCP,Z_LEFT_RING_FINGER_MCP,X_LEFT_RING_FINGER_PIP,Y_LEFT_RING_FINGER_PIP,Z_LEFT_RING_FINGER_PIP,X_LEFT_RING_FINGER_DIP,Y_LEFT_RING_FINGER_DIP,Z_LEFT_RING_FINGER_DIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_MCP,Y_LEFT_PINKY_FINGER_MCP,Z_LEFT_PINKY_FINGER_MCP,X_LEFT_PINKY_FINGER_PIP,Y_LEFT_PINKY_FINGER_PIP,Z_LEFT_PINKY_FINGER_PIP,X_LEFT_PINKY_FINGER_DIP,Y_LEFT_PINKY_FINGER_DIP,Z_LEFT_PINKY_FINGER_DIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_CMC,Y_RIGHT_THUMB_CMC,Z_RIGHT_THUMB_CMC,X_RIGHT_THUMB_MCP,Y_RIGHT_THUMB_MCP,Z_RIGHT_THUMB_MCP,X_RIGHT_THUMB_IP,Y_RIGHT_THUMB_IP,Z_RIGHT_THUMB_IP,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_MCP,Y_RIGHT_INDEX_FINGER_MCP,Z_RIGHT_INDEX_FINGER_MCP,X_RIGHT_INDEX_FINGER_PIP,Y_RIGHT_INDEX_FINGER_PIP,Z_RIGHT_INDEX_FINGER_PIP,X_RIGHT_INDEX_FINGER_DIP,Y_RIGHT_INDEX_FINGER_DIP,Z_RIGHT_INDEX_FINGER_DIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_MCP,Y_RIGHT_MIDDLE_FINGER_MCP,Z_RIGHT_MIDDLE_FINGER_MCP,X_RIGHT_MIDDLE_FINGER_PIP,Y_RIGHT_MIDDLE_FINGER_PIP,Z_RIGHT_MIDDLE_FINGER_PIP,X_RIGHT_MIDDLE_FINGER_DIP,Y_RIGHT_MIDDLE_FINGER_DIP,Z_RIGHT_MIDDLE_FINGER_DIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_MCP,Y_RIGHT_RING_FINGER_MCP,Z_RIGHT_RING_FINGER_MCP,X_RIGHT_RING_FINGER_PIP,Y_RIGHT_RING_FINGER_PIP,Z_RIGHT_RING_FINGER_PIP,X_RIGHT_RING_FINGER_DIP,Y_RIGHT_RING_FINGER_DIP,Z_RIGHT_RING_FINGER_DIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_MCP,Y_RIGHT_PINKY_FINGER_MCP,Z_RIGHT_PINKY_FINGER_MCP,X_RIGHT_PINKY_FINGER_PIP,Y_RIGHT_PINKY_FINGER_PIP,Z_RIGHT_PINKY_FINGER_PIP,X_RIGHT_PINKY_FINGER_DIP,Y_RIGHT_PINKY_FINGER_DIP,Z_RIGHT_PINKY_FINGER_DIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0,0.5321677,0.44907048,6.623155e-08,0.5338833,0.42228442,-0.008030729,0.52416366,0.40097174,-0.0110970335,0.5127883,0.38796666,-0.011891246,0.50315875,0.38305148,-0.01210305,0.5106196,0.4300087,-0.015554117,0.49486774,0.42982873,-0.019290267,0.48617184,0.42299348,-0.020885631,0.47966743,0.4149971,-0.021761406,0.5023733,0.44365287,-0.0127668595,0.48157546,0.44278878,-0.01561346,0.46987367,0.4324918,-0.016712535,0.46257827,0.42199567,-0.017955001,0.49678338,0.45049518,-0.009735016,0.4774892,0.4459824,-0.012531312,0.46827844,0.434163,-0.014118538,0.46235907,0.42284387,-0.015195891,0.4936573,0.45214662,-0.0071352185,0.478469,0.44709104,-0.0095718065,0.47012067,0.43764612,-0.010373297,0.4646115,0.42748505,-0.010815346,0.423577,0.31196344,-1.04140625e-07,0.43840456,0.28751066,0.0024860594,0.45823145,0.27087462,0.0011714402,0.47413364,0.25876904,-0.0014028861,0.48369545,0.24670385,-0.003337021,0.46955854,0.27687413,-0.002466111,0.49564132,0.27738053,-0.008092877,0.4953383,0.28297278,-0.011208585,0.48845947,0.28556108,-0.011962083,0.4696186,0.29327476,-0.006406188,0.49326032,0.2977732,-0.008413698,0.4913141,0.30192003,-0.008426879,0.48444706,0.3021899,-0.008839452,0.4678032,0.31075102,-0.010280235,0.4865244,0.3154858,-0.011173555,0.48266542,0.3178683,-0.0083570685,0.47503528,0.31701136,-0.0069719413,0.4651397,0.32761756,-0.014045474,0.48048344,0.33059317,-0.012604041,0.47650266,0.33145595,-0.00847732,0.46971568,0.3307511,-0.0057118367
40.0,0.53150636,0.44651896,1.08521164e-07,0.52944314,0.42158073,-0.0069046244,0.51639533,0.4019332,-0.009819605,0.50462055,0.39196387,-0.010747764,0.4981513,0.38590726,-0.011564505,0.5073733,0.42439592,-0.016768612,0.49193513,0.4230878,-0.021931218,0.48119253,0.4175915,-0.024093812,0.4734682,0.41147527,-0.025016122,0.5024312,0.43950227,-0.014565991,0.48062652,0.4424894,-0.01996247,0.4680891,0.43682623,-0.02117693,0.46023387,0.4301239,-0.021440325,0.49926075,0.4487384,-0.01199402,0.47792664,0.4502241,-0.016677892,0.4659795,0.44334158,-0.01829978,0.45879787,0.43584847,-0.018508697,0.49801788,0.45329744,-0.009655397,0.48031348,0.45182928,-0.01316653,0.46994516,0.4467674,-0.014316902,0.46347338,0.44074404,-0.014458148,0.41866422,0.3095515,2.7377366e-08,0.4370196,0.28657502,0.0003003011,0.45829368,0.27116343,-0.00026303262,0.47396886,0.2589467,-0.0014619499,0.4844127,0.24796122,-0.0024273477,0.4652072,0.28513038,0.00054953754,0.48108506,0.28655213,-0.0026049546,0.49025208,0.2881613,-0.005179568,0.49749014,0.28895935,-0.0070071695,0.46513525,0.30193794,-0.0024101713,0.48369315,0.30600864,-0.0038933414,0.4938946,0.30893317,-0.0053473776,0.5023482,0.31108847,-0.0070585343,0.46303803,0.31818205,-0.0056859604,0.4809088,0.32372743,-0.008067719,0.49061018,0.32788965,-0.008085396,0.49841356,0.3301842,-0.008357366,0.459032,0.33323202,-0.008955293,0.47264647,0.33972245,-0.010012991,0.48086578,0.34353194,-0.008659367,0.48780683,0.34618664,-0.007817176
80.0,0.5299034,0.44461012,9.539134e-08,0.52421236,0.42138034,-0.004592964,0.5083332,0.40650848,-0.0069037997,0.49351308,0.39929175,-0.007874113,0.4828495,0.39544982,-0.009097037,0.50461197,0.41812196,-0.01436059,0.48733905,0.41393077,-0.01861765,0.47666758,0.4118431,-0.019694284,0.46883488,0.4103395,-0.020251062,0.500887,0.43593183,-0.013612472,0.4817556,0.43862647,-0.018391049,0.46914348,0.4378106,-0.020171495,0.45964286,0.4362222,-0.02150021,0.49918163,0.45013955,-0.012507808,0.48026013,0.45410237,-0.017141309,0.46712086,0.4538999,-0.019983372,0.45720804,0.45252946,-0.02193628,0.49886438,0.45974097,-0.011297135,0.4831936,0.46285993,-0.015978891,0.47238722,0.463668,-0.018918933,0.4637757,0.46308094,-0.02077088,0.41558036,0.31112376,4.719156e-08,0.43014783,0.28940612,-0.0025896302,0.45168608,0.27711517,-0.0039924006,0.46849236,0.27076793,-0.0048065986,0.4803942,0.26434594,-0.005427318,0.45703527,0.2971852,-0.0046724775,0.46992263,0.30151674,-0.0071488284,0.4782019,0.30487055,-0.009168349,0.48580015,0.30740368,-0.010604557,0.45617324,0.31677204,-0.005689668,0.47342125,0.32490772,-0.006282815,0.48430127,0.3296761,-0.00733628,0.49416688,0.3327637,-0.008818125,0.45378172,0.33251002,-0.0068060746,0.47137547,0.3409622,-0.008681325,0.4825716,0.347229,-0.009073539,0.49251512,0.35096395,-0.009490876,0.4502598,0.34406927,-0.007920859,0.4649837,0.35069674,-0.008884572,0.47386336,0.35508806,-0.0075481213,0.48160288,0.35805088,-0.0066408077
120.0,0.52778274,0.44631445,7.994209e-08,0.51988304,0.42283428,-0.002734843,0.5016906,0.4113257,-0.0038986905,0.48478273,0.40891787,-0.0041518053,0.47272414,0.40887094,-0.004729288,0.5022967,0.41970953,-0.0105537055,0.4865731,0.41478667,-0.0134784365,0.47555554,0.41340777,-0.014012809,0.46668616,0.41295135,-0.01458875,0.49896324,0.43740264,-0.010415018,0.48128372,0.43914193,-0.013755899,0.4698091,0.43863255,-0.014767569,0.46123645,0.43803862,-0.015876308,0.49730352,0.45304716,-0.00988751,0.47913966,0.45753956,-0.013478867,0.4669428,0.45858306,-0.015171742,0.45809585,0.45906317,-0.01663314,0.49685067,0.46432313,-0.009160786,0.48150545,0.4695774,-0.0131370155,0.47086892,0.4726518,-0.0153621165,0.46235675,0.4746239,-0.016883215,0.40995166,0.31330705,1.4299914e-07,0.4264037,0.29342806,-0.0065389103,0.44961146,0.28678918,-0.010060177,0.46755305,0.28573778,-0.011853173,0.48121306,0.2819225,-0.013696721,0.4496386,0.31070617,-0.01598124,0.47278297,0.32340187,-0.021657044,0.4891945,0.33114338,-0.02425587,0.50173706,0.33580163,-0.025282469,0.44472528,0.32842225,-0.015254807,0.4695732,0.3421274,-0.019175855,0.48710677,0.34831646,-0.020659119,0.501435,0.35118815,-0.021778727,0.43996176,0.34121376,-0.014244797,0.46260485,0.3527006,-0.01738055,0.47949824,0.3565466,-0.017635092,0.4935732,0.35816976,-0.017552277,0.43608543,0.34852445,-0.01351807,0.455098,0.35720286,-0.015754296,0.46847126,0.36027348,-0.015083184,0.4795878,0.36177397,-0.014220932
160.0,0.52372813,0.44708103,6.2334564e-08,0.51745504,0.4249116,-0.004345387,0.5012928,0.4140194,-0.0062644593,0.48569846,0.4126706,-0.007048041,0.47463143,0.41294152,-0.00812787,0.5009259,0.42106092,-0.013645674,0.48580262,0.4177566,-0.017978463,0.47501484,0.41725573,-0.01934401,0.46578035,0.41734612,-0.020363284,0.49813542,0.43911648,-0.012899427,0.48239908,0.44160974,-0.018019829,0.4701656,0.4419604,-0.019948661,0.45965937,0.4415142,-0.021529717,0.4965242,0.45410043,-0.011806518,0.48009968,0.46011764,-0.01670621,0.4669388,0.46225053,-0.019223241,0.45615202,0.4629464,-0.020995894,0.49618727,0.46468204,-0.010656315,0.48168132,0.47101107,-0.015720718,0.47099105,0.47413895,-0.01881528,0.46179283,0.47573227,-0.020789573,0.40464988,0.30988094,3.742932e-08,0.4243836,0.29477862,-0.003520527,0.44720194,0.29317737,-0.0050946423,0.46475458,0.295241,-0.0059072315,0.4776513,0.29459235,-0.0063393754,0.44202024,0.32110977,-0.004983512,0.4546589,0.33041042,-0.007184163,0.46198353,0.33484286,-0.008829159,0.46781743,0.33747888,-0.009706163,0.4341986,0.33572105,-0.005093122,0.4493679,0.35138696,-0.005484927,0.46011382,0.35847998,-0.006166076,0.46922845,0.36265165,-0.007144125,0.42759648,0.34440967,-0.005390217,0.44209024,0.35934514,-0.0068316404,0.45311028,0.36725083,-0.0072233183,0.4629551,0.3724941,-0.007470189,0.4225879,0.34790757,-0.00572873,0.43276933,0.35981876,-0.0063933237,0.44044155,0.36569142,-0.0050219633,0.44725594,0.3695448,-0.004012491
200.0,0.52119845,0.44614595,6.9652295e-08,0.514542,0.42448917,-0.0064466177,0.4979452,0.41334742,-0.009330409,0.4810503,0.41263917,-0.010512734,0.46881467,0.4167508,-0.011991502,0.4988572,0.42266092,-0.01724404,0.48289338,0.42151988,-0.02245442,0.47135425,0.42209154,-0.02429345,0.46166688,0.4222486,-0.025561456,0.49720427,0.44082868,-0.01562483,0.48086655,0.44703493,-0.021342782,0.467875,0.44842342,-0.023616973,0.45731923,0.44784793,-0.025567682,0.49583828,0.45527276,-0.013661737,0.47874263,0.46248588,-0.018869696,0.46534374,0.4648704,-0.021429325,0.45478132,0.46483898,-0.023260344,0.49492174,0.46494207,-0.011801107,0.4801545,0.4711262,-0.016713731,0.46912283,0.4734252,-0.019634651,0.45992935,0.4734155,-0.021544252,0.40441465,0.3080567,7.901738e-08,0.42374042,0.29590797,-0.0051773572,0.4470975,0.2966794,-0.0076710484,0.4638963,0.30014953,-0.009038865,0.47618985,0.2993965,-0.010002905,0.43977007,0.32087567,-0.0076000094,0.44892815,0.3350721,-0.01042222,0.45608655,0.34256437,-0.012385789,0.4626859,0.3474286,-0.01351387,0.43121794,0.33476368,-0.007108023,0.44356036,0.35509264,-0.008590677,0.4542672,0.3656006,-0.0093521355,0.4640767,0.37271893,-0.010203871,0.42442814,0.34334463,-0.0068489416,0.43749788,0.36019474,-0.009087641,0.4481223,0.36886442,-0.009723235,0.45798624,0.3746178,-0.009919121,0.41949776,0.34760273,-0.0068152756,0.42991763,0.36005205,-0.008136933,0.43779153,0.3658768,-0.0073844325,0.44496182,0.369245,-0.006730109
240.0,0.51906836,0.4455391,7.750854e-08,0.51238716,0.42359668,-0.006258015,0.49530694,0.41291428,-0.008762276,0.4779917,0.41301942,-0.009555348,0.46593302,0.41787142,-0.01046726,0.49700403,0.42527187,-0.015453622,0.4822709,0.42456108,-0.020057764,0.47199282,0.42457792,-0.02145611,0.463793,0.42351672,-0.022221876,0.49520943,0.44322336,-0.01359273,0.47872376,0.4502469,-0.018761978,0.46573046,0.45085382,-0.020503316,0.45608068,0.4495473,-0.02178902,0.49370167,0.45671993,-0.011464055,0.47583428,0.46418646,-0.016445039,0.4623815,0.46466318,-0.018611072,0.452466,0.462771,-0.01982036,0.4925271,0.4650609,-0.009399316,0.47697207,0.47048193,-0.01375033,0.46601334,0.47092235,-0.015975634,0.45751113,0.46903214,-0.017236853,0.4064927,0.30626595,1.1000819e-07,0.42658165,0.2967809,-0.005739222,0.44872534,0.2993122,-0.009077414,0.4653976,0.30271608,-0.011263147,0.47813037,0.30305934,-0.013123182,0.4408386,0.32324612,-0.008083716,0.44950482,0.3401085,-0.01167606,0.4571949,0.34842545,-0.014091442,0.46392855,0.35329655,-0.015419855,0.43097195,0.3345161,-0.007692304,0.44251996,0.35727927,-0.0096637225,0.45313382,0.36883512,-0.010774519,0.46245742,0.37641236,-0.011817798,0.42287624,0.34085214,-0.0076277456,0.43478182,0.3604901,-0.009896947,0.4445726,0.37120178,-0.010317866,0.45353067,0.37894067,-0.010461572,0.41666082,0.34362638,-0.007866407,0.4259073,0.3580786,-0.009331619,0.43302166,0.36590046,-0.008488926,0.43969268,0.3714287,-0.0077265077
280.0,0.5174785,0.4445423,8.8013806e-08,0.51070344,0.42295945,-0.0063873422,0.49342138,0.41309342,-0.008880809,0.4769753,0.41371116,-0.009566758,0.46547222,0.41845632,-0.0103177065,0.49467525,0.42638013,-0.014780827,0.48055628,0.4263163,-0.019264989,0.4711591,0.42563957,-0.020628856,0.46405032,0.42381573,-0.021182012,0.49285346,0.4435226,-0.012645642,0.47542733,0.4487825,-0.017211664,0.4629367,0.44894114,-0.01826954,0.4540539,0.44765085,-0.01893313,0.4915578,0.45658106,-0.010352429,0.4736492,0.46225277,-0.0145951705,0.46111047,0.46184587,-0.01607886,0.45201594,0.4596694,-0.016747555,0.49084407,0.4648082,-0.008186525,0.4755173,0.46918353,-0.011811069,0.465377,0.46924466,-0.013415194,0.45786282,0.46741873,-0.014217429,0.40906084,0.30842233,9.9909876e-08,0.4292676,0.2984044,-0.0057523623,0.451864,0.30085945,-0.008868011,0.46852073,0.30590394,-0.010809371,0.48088118,0.3073404,-0.012421488,0.44455826,0.3258452,-0.007567203,0.45358709,0.34163922,-0.0110491095,0.46077308,0.35102543,-0.013595932,0.4669718,0.35791934,-0.015046419,0.43545222,0.33717626,-0.007010855,0.44726074,0.35789996,-0.008928021,0.45740882,0.36917776,-0.010130195,0.46622902,0.37753895,-0.011231327,0.4280203,0.34392563,-0.006816804,0.43997875,0.36319667,-0.009119831,0.4497176,0.37350014,-0.009721019,0.45824793,0.38115174,-0.009938779,0.42228568,0.34706452,-0.006960145,0.43164566,0.36174077,-0.008512146,0.43875676,0.36961776,-0.007913934,0.44506505,0.37537754,-0.0072438796
320.0,0.51715195,0.44387284,9.925114e-08,0.51074606,0.4216547,-0.0070622577,0.49256054,0.41132239,-0.00931681,0.47599894,0.41259247,-0.009582,0.46427944,0.41623533,-0.00989846,0.49293566,0.4266786,-0.015106792,0.47676972,0.427086,-0.019357542,0.46628958,0.42616597,-0.02043822,0.45861897,0.4243129,-0.020804333,0.49096635,0.4434742,-0.01248765,0.4729644,0.44904363,-0.016667921,0.46079022,0.44938654,-0.017700033,0.4522166,0.44810718,-0.01831381,0.4896756,0.45606044,-0.009724252,0.47205663,0.46135798,-0.013368039,0.46033043,0.46054357,-0.014858533,0.45182186,0.45803687,-0.015649239,0.48897627,0.46401456,-0.0071903467,0.4740552,0.46769208,-0.010507857,0.46483147,0.46717206,-0.012119431,0.4578691,0.46473327,-0.012906813,0.41411573,0.31146222,1.1513931e-07,0.43395275,0.30326775,-0.0051116496,0.45552754,0.30800363,-0.008464187,0.47048274,0.31704372,-0.010353334,0.4814975,0.32147944,-0.012125637,0.4502554,0.32382122,-0.013403438,0.46433228,0.34297842,-0.018019343,0.47272262,0.35513842,-0.019955246,0.47973633,0.3637054,-0.020684153,0.44080105,0.33746654,-0.012982427,0.4538629,0.36015505,-0.016134344,0.46362138,0.3731234,-0.017183796,0.4723094,0.38222015,-0.018004734,0.43208948,0.34696952,-0.012277929,0.44491726,0.367197,-0.015014217,0.4550781,0.37845165,-0.015473815,0.46346998,0.38614172,-0.015611159,0.4247785,0.35305768,-0.011645269,0.4366473,0.3677785,-0.0135959955,0.44539317,0.3759232,-0.01299201,0.45230526,0.38107437,-0.012155116
360.0,0.5196853,0.44332665,1.0354861e-07,0.5127129,0.42139322,-0.007414292,0.49371645,0.4109592,-0.009686957,0.47726148,0.41167927,-0.009873277,0.4651555,0.41492894,-0.010115662,0.49314776,0.42594337,-0.015291522,0.4756296,0.42813337,-0.019202603,0.46467504,0.42740408,-0.020034248,0.456844,0.425532,-0.02015482,0.49228612,0.44313413,-0.0123927435,0.4736183,0.45015687,-0.01628239,0.46149382,0.4502625,-0.016987907,0.45335564,0.44842264,-0.017239023,0.492085,0.45593038,-0.009392713,0.47418928,0.46220973,-0.012611255,0.46262437,0.46145025,-0.013855308,0.4544943,0.4584233,-0.0144118145,0.49214837,0.4640358,-0.0066960095,0.47720253,0.46781895,-0.009599318,0.4683335,0.46731663,-0.010937411,0.46197477,0.46469864,-0.011460921,0.42141426,0.31786513,1.3240242e-07,0.43863118,0.3148244,-0.001997775,0.4567632,0.3218242,-0.0036943217,0.47059676,0.32845324,-0.005269435,0.4807367,0.33196625,-0.0065855435,0.4604048,0.3317306,-0.0044835093,0.47490978,0.3440615,-0.008539936,0.48332635,0.35508114,-0.011393562,0.48869026,0.3645059,-0.013133091,0.45387375,0.34178767,-0.006102511,0.4671493,0.35682765,-0.008428976,0.47508875,0.3688397,-0.010288617,0.48029453,0.37954146,-0.0117337275,0.4440359,0.3507717,-0.007872256,0.4532147,0.37054116,-0.0109973345,0.45797187,0.38439488,-0.012672413,0.46063086,0.39617652,-0.013763889,0.43210688,0.3572617,-0.009668325,0.43441167,0.37443033,-0.01328189,0.43515158,0.38653317,-0.0141743785,0.43522424,0.39725736,-0.014268248
400.0,0.5206492,0.4430441,1.0073152e-07,0.5131338,0.42189842,-0.0069143744,0.4939882,0.41180763,-0.008929853,0.47745174,0.4121015,-0.009114456,0.46486142,0.41452402,-0.0093312785,0.4924288,0.42783514,-0.0127471415,0.47549272,0.43120897,-0.016164921,0.46560913,0.43054548,-0.016928162,0.4589097,0.42828235,-0.01700044,0.49202743,0.4447071,-0.010149451,0.47422674,0.4525833,-0.013460328,0.46269256,0.45297575,-0.014213388,0.45508507,0.45092955,-0.014587408,0.49235523,0.45724878,-0.0076482412,0.47469163,0.4641578,-0.010689525,0.46369398,0.46288612,-0.012125146,0.4563854,0.45916665,-0.012816342,0.49303082,0.4651982,-0.00541334,0.4779272,0.46946755,-0.008156389,0.4689278,0.46870992,-0.009556918,0.46255806,0.46559846,-0.010181595,0.42675927,0.34072375,7.507257e-08,0.42981407,0.3579169,-0.005451187,0.43990037,0.37163448,-0.009927067,0.44575512,0.38443938,-0.014936066,0.4482897,0.3979401,-0.019323347,0.4793337,0.34672213,-0.0054296204,0.49926966,0.35027024,-0.014670847,0.5005078,0.36909774,-0.022400275,0.49476126,0.38559198,-0.026506376,0.48183075,0.34018856,-0.00696088,0.50194895,0.34529763,-0.015006764,0.50329804,0.3664013,-0.020906907,0.49724677,0.38317126,-0.024043981,0.48185194,0.3384258,-0.009465922,0.50075686,0.34470308,-0.015691077,0.50375485,0.36286083,-0.018615477,0.49970186,0.37725314,-0.01943738,0.47872978,0.3402803,-0.012734066,0.49539378,0.34713545,-0.016024243,0.50078344,0.36089277,-0.015899932,0.49967584,0.3730389,-0.0149190035
440.0,0.5220937,0.44401628,1.1017561e-07,0.5144578,0.42142418,-0.007703662,0.49515393,0.41125894,-0.009956965,0.47859102,0.4119605,-0.01009967,0.46592027,0.4142513,-0.010204316,0.49426275,0.42884415,-0.014700465,0.47653195,0.43280765,-0.018457688,0.46614027,0.43115523,-0.019144366,0.4594528,0.42764077,-0.018998167,0.49425018,0.44597045,-0.011587339,0.47529578,0.45451343,-0.015244147,0.46325094,0.45362538,-0.015812766,0.4561095,0.45014566,-0.01589618,0.49467513,0.45818928,-0.008540213,0.47576484,0.4656282,-0.011943617,0.46409506,0.46337157,-0.013657738,0.45642483,0.45854595,-0.014379581,0.4949562,0.46542737,-0.00577447,0.47878587,0.4690143,-0.008972372,0.46909538,0.46745738,-0.010792067,0.462379,0.46360737,-0.011606143,0.4252083,0.3276891,1.6412936e-07,0.44796962,0.34789905,0.00066903385,0.46838555,0.3629259,-0.0037828793,0.48139808,0.37583047,-0.009338319,0.49057564,0.38558736,-0.015383257,0.48537695,0.33539662,-0.013093296,0.49938968,0.35890362,-0.024412896,0.5008896,0.3795684,-0.031764757,0.49902385,0.39410204,-0.036237925,0.47587436,0.33159384,-0.01943372,0.4896152,0.35643205,-0.028479746,0.49254254,0.37428707,-0.032908637,0.49246952,0.3850973,-0.03659315,0.46177116,0.33232242,-0.025636606,0.47472766,0.3554788,-0.035673376,0.47802392,0.3699056,-0.03893589,0.47897092,0.37846443,-0.041168224,0.44598892,0.33802003,-0.031411957,0.4515403,0.3625285,-0.039096955,0.45305035,0.37624773,-0.04044807,0.4532926,0.38563183,-0.041286245
